x1,x2
105.7281,320.5904
108.4388,234.5268
104.5642,241.9565
108.9416,321.6936
109.4585,311.9402
113.1201,228.6610
108.7435,249.7029
101.6355,274.9319
106.2160,285.7832
110.7890,250.0387
110.1866,279.7720
107.5530,260.7369
106.9894,248.7279
104.5142,262.0075
106.1712,230.9931
108.6527,233.2096
100.5220,283.5794
103.6895,252.2991
108.4202,235.6781
104.8108,318.1459
109.8788,245.3321
110.1871,314.2494
100.2033,305.0945
107.2551,300.3121
106.6309,229.5433
107.7793,322.9284
109.9530,225.2574
107.4712,241.7637
108.9546,307.1554
106.9678,302.8090
107.6541,276.0263
108.0653,262.4568
104.9900,267.0355
104.6706,279.6550
103.9801,298.2935
111.4360,284.5588
110.5378,308.5524
109.3893,260.8623
113.3131,261.4007
104.6922,228.3529
109.7938,295.6159
110.2183,229.5658
106.0558,226.9045
103.4218,310.0058
106.9137,323.3145
101.7723,246.7426
103.6101,229.1631
106.0772,270.0875
105.4669,311.6462
109.7706,289.6677
105.0354,274.1262
109.9172,270.3672
103.3653,282.1689
107.5469,303.8792
106.8249,273.1800
108.3888,302.5792
109.1254,296.8059
108.8938,297.8085
108.9334,321.6385
103.3063,230.8089
104.3283,294.9696
108.2923,302.4963
107.9201,238.9602
106.3097,272.2888
102.8335,254.9003
106.9806,284.0438
106.2849,297.7019
108.1278,282.3968
106.0732,278.7937
107.3193,248.8461
109.6663,309.1997
97.9845,253.8356
105.5327,257.2493
100.6629,298.4276
113.7383,247.5354
114.2729,221.7968
106.3346,240.4096
107.1073,265.7202
104.1263,228.9916
106.8049,303.4420
103.3857,298.7802
109.0772,259.3249
110.1671,274.0675
112.3071,251.8837
103.7578,284.6646
106.1531,300.2830
106.9947,263.8599
104.0635,256.3484
108.4842,265.8615
105.7028,316.9013
107.4996,324.6422
107.5877,293.7659
106.5481,257.9506
108.8708,238.4402
105.3499,275.8847
108.0500,286.3482
104.2680,227.1976
103.1727,249.2937
110.0053,269.6571
103.8952,280.3386
108.1170,257.2576
108.6744,255.7550
107.6041,225.4418
101.8276,321.0206
106.0007,250.4840
104.6932,295.6993
104.4993,291.1599
103.1858,244.0105
107.4568,225.8716
106.1645,295.4561
110.4587,232.6649
105.3307,249.0337
101.9358,260.3763
114.0092,287.2862
105.3322,268.4185
110.7483,310.4046
110.1029,240.0468
109.7407,309.7912
104.5458,285.0667
105.5152,318.7298
104.6319,236.2189
108.6394,291.8829
109.2279,281.9080
106.2754,274.1549
108.2411,308.9640
109.3162,264.0430
112.9811,288.4679
106.6069,272.1269
105.3407,236.9326
106.7725,253.2893
107.2810,233.1982
105.7594,308.0269
107.7179,257.3154
102.2273,257.0100
98.7528,301.8662
108.2549,284.0199
107.7940,246.1350
108.6363,296.5562
108.6690,239.2571
104.7598,304.5444
103.2812,249.1475
105.0888,227.2866
110.6937,299.5130
100.1614,319.8867
112.1803,285.9594
106.5950,251.6610
105.1857,260.4685
108.1626,302.3507
108.6891,300.2763
105.7640,283.5745
108.4560,232.9113
107.4511,272.9542
98.0252,281.0378
102.7920,301.1242
106.5262,271.4573
105.7569,296.7581
102.5721,247.8837
109.7601,231.5509
114.0361,265.2160
103.8280,280.7729
101.3482,292.5387
109.7549,318.6140
106.0687,287.7277
108.9655,238.8565
103.3505,251.2622
111.2906,263.0478
107.2096,264.5312
111.9183,236.1838
108.3070,301.0132
103.7343,288.3638
105.0718,312.0096
111.5433,264.0032
107.4417,254.7498
102.0409,300.5712
101.7136,315.7957
109.8672,248.8571
105.1270,283.7829
112.1672,253.5721
107.8247,317.8198
105.3125,243.2259
91.7772,277.7575
76.1315,303.2588
89.1007,249.4884
86.6520,267.4592
83.8084,250.4407
85.9930,251.9767
88.0875,286.4110
83.6011,337.6430
85.8502,280.0399
92.2147,259.8080
86.4275,261.3078
89.8570,245.5937
85.0113,309.8090
90.8666,283.9117
87.1032,254.9974
87.6952,297.1904
83.8256,260.0528
84.5904,276.9716
89.7928,301.3257
77.6384,260.7581
91.5708,293.5460
87.3558,259.9319
93.8623,244.6185
89.6967,264.5561
79.8035,260.9376
87.1204,295.0988
88.0286,266.2592
84.3029,336.7480
91.0644,313.3827
88.0034,331.0356
83.9602,273.3797
78.6782,337.3942
87.5571,312.8016
83.3738,282.3781
83.5145,255.2032
86.3816,327.9448
89.4716,304.6087
93.1527,309.5535
89.9324,323.5103
92.8463,236.3115
84.7795,307.1293
86.2917,264.6021
93.2091,235.5631
81.5012,325.3961
83.5879,306.5420
87.5556,273.7611
81.7959,302.0175
86.1564,258.2438
85.3695,286.4768
83.8563,317.8768
81.1807,331.1682
80.5361,310.1042
93.4077,236.4115
90.7489,334.1075
